Nome do Campeonato:	Campeonato Interno Clube Jundiaiense									
Ano:	2018									
JOGOS										
jogo_nro	data	hora	local	time_mandante	gol_mandante	gol_visitante	time_visitante	rodada	fase	grupo
37	14/04/2018	11:00	Campo D	Galaxie 70	1	5	Náutico	3	Primeira Fase	Série Diamante
38	14/04/2018	13:45	Campo B	All Blacks	6	1	Dudinka	3	Primeira Fase	Sério Ouro
39	14/04/2018	13:45	Campo E	River Plate	1	0	Sinistro	3	Primeira Fase	Sério Ouro
40	14/04/2018	15:15	Campo D	Tio Dirdo I	1	0	Tio Dirdo II	3	Primeira Fase	Sério Ouro
41	14/04/2018	15:15	Campo B	Mitos	1	0	Aurora Cochabamba	3	Primeira Fase	Sério Prata
42	14/04/2018	16:45	Campo B	Corinthians	3	0	Colo-Colo	3	Primeira Fase	Sério Prata
43	14/04/2018	16:45	Campo C	Tsunami	3	1	Everest	3	Primeira Fase	Sério Prata
44	14/04/2018	13:45	Campo C	Lokomotiv	1	1	Santa Cruz	5	Primeira Fase	Série Bronze
45	14/04/2018	13:45	Campo D	Brasil	1	2	Fenerbate	5	Primeira Fase	Série Bronze
46	14/04/2018	15:15	Campo C	Rock na Teia	2	1	Galoucos e Danone	5	Primeira Fase	Série Bronze
47	14/04/2018	15:15	Campo E	Sabadão	0	2	Íbis Barcelona	5	Primeira Fase	Série Bronze
48	21/04/2018	11:00	Campo B	Tio Dirdo	2	3	Alianza	4	Primeira Fase	Série Diamante
49	21/04/2018	11:00	Campo C	Barcelona	0	2	Real	4	Primeira Fase	Série Diamante
50	21/04/2018	11:00	Campo D	Galaxie 70	1	2	Bayern	4	Primeira Fase	Série Diamante
51	21/04/2018	13:45	Campo E	Parathinaikos	2	2	Tio Dirdo I	4	Primeira Fase	Sério Ouro
52	21/04/2018	15:15	Campo B	Tio Dirdo II	1	1	Dudinka	4	Primeira Fase	Sério Ouro
53	21/04/2018	15:15	Campo D	All Blacks	3	0	Sinistro	4	Primeira Fase	Sério Ouro
54	21/04/2018	13:45	Campo B	Tsunami	5	2	Aurora Cochabamba	4	Primeira Fase	Sério Prata
55	21/04/2018	13:45	Campo D	Mitos	3	3	Colo-Colo	4	Primeira Fase	Sério Prata
56	21/04/2018	15:15	Campo E	Celeste	2	0	Everest	4	Primeira Fase	Sério Prata
57	21/04/2018	13:45	Campo C	Galoucos e Danone	1	11	Íbis Barcelona	6	Primeira Fase	Série Bronze
58	21/04/2018	15:15	Campo C	Sabadão	2	1	Clássicos	6	Primeira Fase	Série Bronze
59	21/04/2018	16:45	Campo B	Rock na Teia	0	1	Fenerbate	6	Primeira Fase	Série Bronze
60	21/04/2018	16:45	Campo C	Brasil	4	4	Lokomotiv	6	Primeira Fase	Série Bronze
61	05/05/2018	11:00	Campo B	Náutico	1	5	Bayern	5	Primeira Fase	Série Diamante
62	05/05/2018	11:00	Campo C	Galaxie 70	0	3	Real	5	Primeira Fase	Série Diamante
63	05/05/2018	11:00	Campo D	Barcelona	1	6	Alianza	5	Primeira Fase	Série Diamante
64	05/05/2018	13:45	Campo E	Sinistro	0	0	Tio Dirdo I	5	Primeira Fase	Sério Ouro
65	05/05/2018	15:15	Campo D	All Blacks	2	2	Parathinaikos	5	Primeira Fase	Sério Ouro
66	05/05/2018	15:15	Campo E	Tio Dirdo II	0	1	River Plate	5	Primeira Fase	Sério Ouro
67	05/05/2018	13:45	Campo B	Celeste	2	1	Tsunami	5	Primeira Fase	Sério Prata
68	05/05/2018	13:45	Campo D	Aurora Cochabamba	3	1	Everest	5	Primeira Fase	Sério Prata
69	05/05/2018	15:15	Campo B	Corinthians	3	2	Mitos	5	Primeira Fase	Sério Prata
70	05/05/2018	13:45	Campo C	Brasil	6	1	Clássicos	7	Primeira Fase	Série Bronze
71	05/05/2018	15:15	Campo C	Fenerbate	3	1	Galoucos e Danone	7	Primeira Fase	Série Bronze
72	05/05/2018	16:45	Campo B	Íbis Barcelona	0	6	Santa Cruz	7	Primeira Fase	Série Bronze
73	05/05/2018	16:45	Campo C	Sabadão	2	1	Rock na Teia	7	Primeira Fase	Série Bronze
74	12/05/2018	11:00	Campo B	Náutico	2	3	Real	6	Primeira Fase	Série Diamante
75	12/05/2018	11:00	Campo C	Tio Dirdo	2	4	Bayern	6	Primeira Fase	Série Diamante
76	12/05/2018	11:00	Campo D	Galaxie 70	1	4	Alianza	6	Primeira Fase	Série Diamante
77	12/05/2018	13:45	Campo D	All Blacks	1	1	River Plate	6	Primeira Fase	Sério Ouro
78	12/05/2018	15:15	Campo B	Tio Dirdo II	1	3	Parathinaikos	6	Primeira Fase	Sério Ouro
79	12/05/2018	15:15	Campo E	Dudinka	1	6	Tio Dirdo I	6	Primeira Fase	Sério Ouro
80	12/05/2018	13:45	Campo B	Celeste	2	2	Colo-Colo	6	Primeira Fase	Sério Prata
81	12/05/2018	15:15	Campo C	Corinthians	3	1	Aurora Cochabamba	6	Primeira Fase	Sério Prata
82	12/05/2018	16:45	Campo B	Mitos	4	0	Everest	6	Primeira Fase	Sério Prata
83	12/05/2018	13:45	Campo C	Clássicos	1	4	Íbis Barcelona	8	Primeira Fase	Série Bronze
84	12/05/2018	13:45	Campo E	Santa Cruz	3	1	Rock na Teia	8	Primeira Fase	Série Bronze
85	12/05/2018	15:15	Campo D	Galoucos e Danone	3	8	Sabadão	8	Primeira Fase	Série Bronze
86	12/05/2018	16:45	Campo C	Fenerbate	1	3	Lokomotiv	8	Primeira Fase	Série Bronze
87	09/06/2018	11:00	Campo B	Barcelona	0	1	Bayern	7	Primeira Fase	Série Diamante
88	09/06/2018	11:00	Campo C	Náutico	2	8	Alianza	7	Primeira Fase	Série Diamante
89	09/06/2018	11:00	Campo D	Tio Dirdo	3	1	Real	7	Primeira Fase	Série Diamante
90	09/06/2018	13:45	Campo D	Tio Dirdo II	2	2	Sinistro	7	Primeira Fase	Sério Ouro
91	09/06/2018	15:15	Campo D	Parathinaikos	6	1	Dudinka	7	Primeira Fase	Sério Ouro
92	09/06/2018	16:45	Campo B	River Plate	1	1	Tio Dirdo I	7	Primeira Fase	Sério Ouro
93	09/06/2018	15:15	Campo C	Tsunami	5	1	Colo-Colo	7	Primeira Fase	Sério Prata
94	09/06/2018	15:15	Campo E	Corinthians	5	1	Everest	7	Primeira Fase	Sério Prata
95	09/06/2018	16:45	Campo C	Celeste	3	5	Aurora Cochabamba	7	Primeira Fase	Sério Prata
